Product Name,Brand Name,Price,Rating,Reviews,Review Votes,Sentiments,neg,neu,pos,compound,review_length
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,feel lucky found used phone u used hard phone line someone upgraded sold one son liked old one finally fell apart year didnt want upgrade thank seller really appreciate honesty said used phonei recommend seller highly would,1.0,1,0.1,0.592,0.308,0.8966,223
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,nice phone nice grade pantach revue clean set easy set never android phone fantastic say least perfect size surfing social medium great phone samsung,0.0,1,0.155,0.445,0.4,0.8548,149
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,pleased,0.0,1,0.0,0.0,1.0,0.4404,7
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,work good go slow sometimes good phone love,0.0,1,0.0,0.333,0.667,0.875,43
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,great phone replace lost phone thing volume button work still go setting adjust job eligible upgrade phone againthaanks,0.0,1,0.103,0.714,0.183,0.4215,119
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,already phone problem know stated used dang state charge wish would read comment would purchased item cracked side damaged good trying charge another way work requesting money back get money backsigned unhappy customer,1.0,0,0.2,0.667,0.133,-0.4215,218
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,2,charging port loose got soldered needed new battery well later including cost purchase usable phone phone sold state,0.0,0,0.113,0.784,0.103,-0.0516,116
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,2,phone look good wouldnt stay charged buy new battery still couldnt stay charged longso trashed itmoney lost never buy person,0.0,1,0.094,0.656,0.25,0.4184,124
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,originally using samsung galaxy sprint wanted return back samsung epic g sprint really missed keyboard really liked smaller compact size phone still needed basic function smart phone ie checking email getting direction text messaging phone powerful newer cell phone aware application install slower phone run likely freeze time time camera work great video great well even web browsing decent give need also notice battery life last little bit longer charging phone much quicker galaxy,0.0,1,0.028,0.742,0.229,0.9485,485
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,3,battery life great responsive touch issue sometimes screen go black press top button several time get screen reilluminate,0.0,1,0.0,0.641,0.359,0.8126,121
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,3,fiance phone previously caused many problem course decided browse amazon replacement til contract far good,0.0,1,0.14,0.622,0.238,0.2263,106
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,great product came two day ordering one little blemish sidebut care long phone fullly functionali recommend product anyone reading,0.0,1,0.0,0.627,0.373,0.8603,130
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,guy best little situation item quickly fixed issue pleased definitely buying another phon need one,2.0,1,0.0,0.55,0.45,0.8689,98
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,im really disappointed phone service phone went week ago instead handling issue first surfaced ive told im stick phone im dollar service im using still havent received mailing label return item first purchase amazon im rushing use smartphones business anytime soon thought getting deal seems like im one lucked,1.0,1,0.061,0.811,0.128,0.4033,310
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,ordered phone replacement model contract expires get new one seller confirmation said delivery could take day seller sent phone within hour receiving order phone next day phone look better described able transfer data old one new one problem highly recommend seller,1.0,1,0.058,0.819,0.123,0.4576,265
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,2,phone loved working got phone one thing sd card slot open try access file managment even show computer card fine able open another phone trying trouble shoot,0.0,1,0.151,0.68,0.169,0.1531,157
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,able get phone previously ownedwith keyboard touch screen best phone love still clean device service provider well worth,6.0,1,0.0,0.463,0.537,0.9337,120
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,brought phone replacement daughter hard cell phone must say great purchase phone work wonderful thank,0.0,1,0.062,0.485,0.454,0.872,101
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,love phone everything need work great purchased four phone seller shipped amazon warehouse problem phone didnt come micro sd card couldnt use camera got card problem getting activated sprint,1.0,1,0.137,0.609,0.254,0.6808,190
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,3,unfortunately sprint could activate phone due blocking issue phone matter handled well quickly satisfied service,0.0,0,0.238,0.476,0.286,0.0,112
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,battery old used barely hold charge otherwise issue phone,0.0,0,0.0,1.0,0.0,0.0,57
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,prosbeautiful screencapable running chrometake good picturesthe keyboard comfyfits pocket fit handsplays really good video gamesconsno bluetoothcame laterun fast really quickdoesnt play p videosbut would still recommend like talk text lot like watch lot movie,0.0,1,0.0,0.585,0.415,0.9475,259
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,purchased phone december christmas present son called sprint activate phone find esn wasnt clear told come store upon research phone wasnt clear reached company inform esn wasnt clean told send phone back would send another phone asked representative provide esn could call make sure clear told didnt phone available guaranteed would clear shouldve known something wrong received second phone turned clear esn representative sprint informed seller phone aware esn isnt clear send another phone back asked refund phone shipping since sent two phone didnt clear esn received refund phone yet see refund shipping wouldnt suggest buy anything,19.0,0,0.199,0.78,0.021,-0.9397,638
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,phone good little slow phone old great phone temporary right thank great deal,0.0,1,0.0,0.398,0.602,0.9274,77
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,phone speaker little low overall happy phone would purchase another cell phone chubbietech satisfied,0.0,1,0.095,0.578,0.327,0.6629,100
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,phone great good condition daughter happy andriod user,0.0,1,0.0,0.318,0.682,0.8934,54
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,3,reason star rating opinion better iphone tends randomly crash randomly power good storage space battery usage camera,0.0,1,0.12,0.622,0.258,0.4767,116
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,phone work great problem,0.0,1,0.307,0.227,0.466,0.34,24
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,good condition work good,0.0,1,0.0,0.256,0.744,0.7003,24
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,good phone great screen resolution storage low need sd card anything may clear esn dont expect use thing like freedompop,0.0,1,0.072,0.514,0.414,0.875,120
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,described fast ship,0.0,0,0.0,1.0,0.0,0.0,19
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,perfect every way,0.0,1,0.0,0.351,0.649,0.5719,17
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,2,one phone bad charger port want send back,0.0,0,0.324,0.556,0.12,-0.4939,41
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,got phone great phone easy use,0.0,1,0.0,0.364,0.636,0.7906,30
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,phone great gotten old time replacementit great lasted,0.0,1,0.0,0.423,0.577,0.8481,54
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,phone came great condition great price brings back great memory owning phone,0.0,1,0.0,0.423,0.577,0.9231,76
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,met expectation cant complain great price,0.0,0,0.35,0.425,0.224,-0.2924,41
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,phone working planning use whatsapp anyway oh problem cant change idiom,0.0,0,0.213,0.787,0.0,-0.4019,71
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,excellent product perfect condition,0.0,1,0.0,0.213,0.787,0.8126,35
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,excellent,0.0,1,0.0,0.0,1.0,0.5719,9
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,excelente,0.0,0,0.0,1.0,0.0,0.0,9
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,2,like phone bought mom love,0.0,1,0.0,0.309,0.691,0.7717,26
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,2,came arabian keyboard,0.0,0,0.0,1.0,0.0,0.0,21
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,3,love phone one problem one problem onlyonce mic go thats mic take beating,0.0,0,0.389,0.417,0.194,-0.4939,73
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,love,0.0,1,0.0,0.0,1.0,0.6369,4
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,practical userfriendly phone satisfied,0.0,1,0.0,0.517,0.483,0.4215,38
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,sharp classy phone,0.0,1,0.0,0.408,0.592,0.4404,18
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,good,0.0,1,0.0,0.0,1.0,0.4404,4
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,gooddd,0.0,0,0.0,1.0,0.0,0.0,6
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,shipped quickly exactly expected,0.0,0,0.0,1.0,0.0,0.0,32
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,4,work wonderful price,0.0,1,0.0,0.351,0.649,0.5719,20
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,bought alternative smart phone data plan use gophone payasyougo plan phone function great radio music player good sound quality smart phone type feature easier faster use smart phone used software glitch documented nokia support site proved easily fixed even though many nokia based feature longer supported microsoft still use feature needed accessing web directly via wifi connection data want pay privilege launching siteapplication although new nokia browser pretty spartan appearance fast run good stability big guy land large even size find full qwerty keyboard pretty easy use like programmable hot key onscreen shortcut keep launching item require data connection accident back lighting thorough even raised button tactile positive click response phone quirk airplane mode far tell flight profile doesnt seem able set broadcasting receiving function turned main navigation buttonmouse little small doesnt always respond expected might though would recommend phone vendor highly want feature smart phone dont need gps big data bill every month bunch thing dont need want keep life running smoothly,1.0,1,0.023,0.701,0.276,0.9926,1104
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",Nokia,299.0,5,muy buen producto,0.0,0,0.0,1.0,0.0,0.0,17
